,title,description
8645,Python Developer,"['Create, maintain and improve Airflow DAG, PySpark scripts and CI/CD configurations ', 'Monitoring the solution, identifying errors and implementing fixes ', 'Support in the development of new components of the reporting tool ', 'Implementation of automation tools for deployment, orchestration and testing ', 'Participation in the design and implementation of new software features in the Google Cloud environment. ']"
8646,Python Developer,[]
8647,Python Developer,[]
8648,Python Developer- Remote/Wroclaw,"['Ownership - You will have ownership over your development and propose technical solutions.', 'Learning - You will learn new technologies, frameworks, etc. every day.', 'Solution Design - You won’t be just taking tasks. This job involves actual design, architecting and implementation.', 'Agile Approach - You will work collaboratively with other team members in an agile, Scrum way.', 'Development - Designing, coding, testing and operating world-class serverless Python services.', 'Development - Design the backend architecture, APIs and business logic.', 'Development - Write server side code for cloud-based applications that leverage cutting edge distributed systems technologies.', 'Development - Develop prototypes and contribute to architectural design discussions and technical decisions.']"
8649,Senior/Expert Python Developer,"['Joining a team of highly skilled engineers in Poland. You will have the opportunity to get hands-on experience and work with the latest modern technology stacks, in a range of projects such as Cloud Enablement, Data transformation, Application Modernization Greenfield.', 'Experienced Python Developer will be part of a team working on strategic and tactical projects for the Wholesale Lending business.', 'Working in a fast paced Agile environment.']"
8650,Senior Python Backend Engineer,"['Join a pharmatech project with a mission to revolutionize drug discovery and development. We offer the opportunity to start your journey from February 1st, 2025, so we encourage applications from candidates available from this date.', 'Collaborate with a company dedicated to discovering, designing, and developing the best possible drugs in the fastest and most effective way.', 'As part of this team, you will contribute to groundbreaking treatments for complex diseases, playing a key role in their discovery.', 'You’ll work on cutting-edge projects aimed at reducing the time and cost of drug development, bringing life-saving treatments to millions faster.', 'Your expertise will help scale precision medicine through innovative computational methods, pushing the boundaries of what technology can achieve in healthcare.']"
8651,Senior Python Backend Engineer,"['Join a pharmatech project with a mission to revolutionize drug discovery and development. We offer the opportunity to start your journey from February 1st, 2025, so we encourage applications from candidates available from this date.', 'Collaborate with a company dedicated to discovering, designing, and developing the best possible drugs in the fastest and most effective way.', 'As part of this team, you will contribute to groundbreaking treatments for complex diseases, playing a key role in their discovery.', 'You’ll work on cutting-edge projects aimed at reducing the time and cost of drug development, bringing life-saving treatments to millions faster.', 'Your expertise will help scale precision medicine through innovative computational methods, pushing the boundaries of what technology can achieve in healthcare.']"
8652,Python Developer (AI/genAI),"['realizacja komercyjnych projektów klasy enterprise oraz ścisła współpraca z zespołami programistów, data scientistów, dev-ops, w celu dostarczania gotowych do produkcji rozwiązań; ', 'proponowanie i ocena najnowszych modeli LLM/SLM oraz rozwiązań opartych na generatywnej AI, w ścisłym odniesieniu do wymagań biznesowych;', 'realizacja skalowalnych rozwiązań ML, w tym rozwiązań bazujących na bazach wektorowych, silnikach wyszukiwania i modelach AI;', 'implementacja zaawansowanych rozwiązań od prototypu do produktu gotowego do wdrożenia produkcyjnego;', 'udział w warsztatach, konsultacjach i dyskusjach technicznych z zespołem reprezentującym stronę klienta;', 'opracowywanie dokumentacji technicznej opisującej zastosowane podejście do realizacji projektu, sposób implementacji narzędzi AI oraz procedury przygotowania danych w celu ich dalszego przetwarzania.']"
8653,Senior Python & Django Developer,"['Design and implement robust backend solutions using Python and Django', 'Ensure high performance and responsiveness of applications', 'Develop and integrate RESTful APIs', 'Collaborate with front-end developers to ensure seamless integration between backend services and user interfaces', 'Participate in code reviews, provide constructive feedback, and mentor junior developers', 'Troubleshoot, debug, and upgrade existing systems', 'Write clean, efficient, and well-documented code', 'Stay up-to-date with industry best practices and emerging technologies']"
8654,Python Developer,"[""You will work closely with Business Analyst's & Product Owners to refine user stories and requirements and identify, prioritize and execute tasks within the software development life cycle. "", 'Develop and maintain Python applications.', 'Deliver solid and maintainable software.', 'Translate business requirements into technical solutions.', 'Implement, review, support and debug required scope', 'Write tech specs and define project architecture.', 'Write unit tests and integration tests.', 'Participate in code review.', 'Participate in verbal and written communication with the stake holder(s).']"
8655,Senior Full-Stack Developer (Python + Vue),"['Design, develop, and maintain applications using Python and JavaScript technologies.', 'Write clean, maintainable, and efficient code.', 'Troubleshoot and debug applications.', 'Implement security and data protection measures.', 'Collaborate with team members to drive continuous improvement.', 'Stay up-to-date with new technology trends.', 'Design, implement, and maintain automated builds and deployments.', 'Share knowledge about new and relevant technologies with the development team.', 'Develop features (data access, business logic, and UI), fix bugs, and write unit tests.', 'Perform testing and create documentation as needed to support team goals.', 'Assist with resolving production issues.', 'Conduct code reviews for other team members.']"
8656,Senior Python Engineer,"[' Development and maintenance of Linux-based server software   ', ' Development of REST API in Python3/FastAPI, for a React frontend  ', ' Collaboration with other developers on development and deployment ', ' Take responsibility of developing new features ']"
8657,Mid/Senior Python Developer,"['Joining a team of highly skilled engineers in Poland. You will have the opportunity to get hands-on experience and work with the latest modern technology stacks, in a range of projects such as Cloud Enablement, Data transformation, Application Modernization Greenfield.', 'Experienced Python Developer will be part of a team working on strategic and tactical projects for the Wholesale Lending business.', 'Working in a fast paced Agile environment.']"
8658,Full Stack Engineer (Python/JS) - Remote ,"['Develop and enhance an internal framework to improve process automation.', 'Integrate APIs to ensure seamless connectivity with various systems.', 'Collaborate with cross-functional teams distributed across different regions.', 'Manage and query databases using SQL.', 'Deploy, debug, and maintain applications in Linux environments.']"
8659,"Senior AI Developer (.Net, Python)",[]
8660,Starszy Programista Python,"['Opracowywanie algorytmów i komponentów systemu realizujących usługi przetwarzania i udostępniania danych pochodzących z wielu źródeł (bazy SQL, noSQL, aplikacje systemowe, serwisy zewnętrzne itp.),\xa0', 'Analiza i modelowanie danych przetwarzanych przez system,\xa0', 'Integracja komponentów zrealizowanych w różnych technologiach w jeden spójny i wydajnie pracujący system.\xa0']"
8661,Senior Software Engineer (Python + Django),"['Develop and maintain internal tools using Python and Django to enhance efficiency and productivity.', 'Build tools for bulk updating, data scraping, and data importing to streamline workflows.', ' Create and optimize admin interfaces for various internal tools.', 'Handle data wrangling, parsing, and validation to ensure data integrity and accuracy.', 'Develop tools for importing and managing large datasets, including media outlets, contacts, and article metadata.', 'Integrate internal tools with external APIs and services to automate processes and data flow.', 'Implement automation features for tasks such as email handling, profile updates, and data synchronization.', 'Identify and resolve issues related to internal tools, such as broken search inputs, data mismatches, and UI inconsistencies.', 'Perform root cause analysis and implement fixes for reported bugs and performance issues.', 'Work closely with other engineering teams, customer support, and editorial teams to gather requirements and deliver solutions.', 'Provide support for internal users by addressing their tooling requests and feedback.', 'Develop new features and enhancements based on user feedback and organizational needs.', ' Implement user-friendly interfaces and functionalities to improve the overall user experience of internal tools.', ' Monitor the performance of internal tools and optimize them for better efficiency and reliability.', ' Ensure tools are scalable and capable of handling increasing data volumes and user interactions.']"
8662,Fullstack Developer (Python/JavaScript),"['Development and maintenance web applications and advanced websites using React (TypeScript) and Python (Django)', 'Active participation in projects - analysis and technology recommendations', 'Writing unit tests', 'Regular code contributing to the repository and conducting a code review', 'Adapting existing solutions for browsers and devices', 'Collaboration in Scrum methodology. We have events like: daily, demo, retro', 'Close cooperation with other team members (PM, PO, UI/UX Designers, Developers)', 'Client and team technical support', 'Participation in company meeting and Tech-Talk - as a listener', 'Readiness for potential work on two projects - ability to switch between contexts', 'Possible business trips - for example Big Room Planning ']"
8663,Fullstack Developer (Python/JavaScript),"['Development and maintenance web applications and advanced websites using React (TypeScript) and Python (Django)', 'Active participation in projects - analysis and technology recommendations', 'Writing unit tests', 'Regular code contributing to the repository and conducting a code review', 'Adapting existing solutions for browsers and devices', 'Collaboration in Scrum methodology. We have events like: daily, demo, retro', 'Close cooperation with other team members (PM, PO, UI/UX Designers, Developers)', 'Client and team technical support', 'Participation in company meeting and Tech-Talk - as a listener', 'Readiness for potential work on two projects - ability to switch between contexts', 'Possible business trips - for example Big Room Planning ']"
8664,Senior Python Engineer,"['Develop and maintain robust and scalable backend systems using Python 3.10+', 'Design, implement and maintain APIs following best practices of RESTful API', 'Ensure code quality by adding unit, integration, and end-to-end tests ', 'Create and maintain an  internal and external technical documentation', 'Contribute to system design, participate in architectural discussions, and contribute to the continuous improvement of our software development processes', 'Ownership of the end-to-end solutions, including technical design, development, CI/CD process, infrastructure management, testing, and tech dept management. ', 'Collaborate closely with cross-functional teams including frontend developers, devops, architects, product managers, QAs, and designers to ensure seamless integration of features and functionalities', 'Troubleshoot and resolve issues in production environments and provide timely resolutions to technical challenges', 'Stay up-to-date with the latest industry trends and emerging technologies, sharing your knowledge with the team to drive innovation and growth.', 'Participate in pre-sale and discovery activities.']"
